"SampleID","CRA","Error","DC13","Material","Species","Site","Phase","Type","Country","Longitude","Latitude","LocQual","Source","Comments"
"AA-27979",7700,60,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 2",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"P-777",7704,91,NA,"charcoal","juniper","Catalhöyük East","level VI B",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Ralph 1965, Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation; Stuckenrath and Ralph 1965: shrine"
"OxA-11712",7705,55,NA,"seeds","Lens, charred","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"AA-18105",7710,100,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell)"
"OxA-11155",7710,50,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 2C",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"AA-27978",7710,70,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"PL-972139A",7710,70,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"OxA-11075",7725,75,NA,"bone","Bos, skull with horncores 1400.X3","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"P-1365",7729,80,NA,"charcoal","juniper","Catalhöyük East","level VI A",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation;  Stuckenrath and Lawn 1969: shrine"
"PL-980559A",7730,80,NA,"charcoal",NA,"Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, BACH area"
"OxA-11029",7730,45,NA,"seeds","Lens, charred","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"OxA-11046",7730,50,NA,"seeds","Triticum dicoccum, charred seeds","Catalhöyük East","building 5, phase B",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"AA-19351",7747,65,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell)"
"OxA-11183",7750,45,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 4",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"OxA-11713",7755,55,NA,"seeds","Lens, charred","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"P-1374",7757,92,NA,"charcoal","elm","Catalhöyük East","level XII",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"OxA-11049",7760,50,NA,"human","bone, juvenile","Catalhöyük East","building 1, phase 2C",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"PL-9800563A",7760,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-980519A",7760,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"OxA-11032",7765,40,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 2C",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"OxA-9945",7775,50,NA,"seeds","Scirpus, charred seeds","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, KOPAL Area"
"OxA-11050",7775,50,NA,"human","bone, juvenile","Catalhöyük East","building 1, phase 2C",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"AA-27976",7780,55,NA,"charcoal",NA,"Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, BACH area"
"PL-980520A",7780,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"OxA-11028",7780,40,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 2B",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"OxA-11042",7785,45,NA,"seeds","Triticum/ Hordeum, charred","Catalhöyük East","Building 1, phase 1B",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"OxA-11047",7790,50,NA,"human","bone, old man","Catalhöyük East","building 1, phase 4",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"AA-27980",7790,60,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VIII-VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-9800570A",7800,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-980511A",7800,100,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level IX-VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"OxA-11048",7800,50,NA,"human","bone, adult man","Catalhöyük East","building 1, phase 4",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"PL-972431A",7810,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VIII-VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-980514A",7810,100,NA,"seeds","charred seeds","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, BACH area"
"PL-980410A,B",7815,60,NA,"charcoal",NA,"Catalhöyük East","level IX-VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-9800521A",7820,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 3",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"PL-9800566A",7820,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-972126A",7830,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","building 1, phase 2A",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"PL-9800522A",7830,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, KOPAL area"
"PL-980518A",7840,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"P-1371",7844,102,NA,"charcoal",NA,"Catalhöyük East","level X",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"PL-9800507B",7850,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-980561A",7850,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-980513A",7850,100,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"P-1367",7853,97,NA,"charcoal","elm/ oak","Catalhöyük East","level VIII",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"OxA-11051",7855,45,NA,"human","bone, old woman","Catalhöyük East","building 1, phase 2B",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"OxA-11052",7860,45,NA,"human","bone, old man","Catalhöyük East","building 1, phase 1B",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, North Area"
"PL-980512A",7860,100,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level IX-VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-9800568A",7880,90,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level IX-VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410. Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, South Area"
NA,7898,80,NA,"seeds",NA,"Catalhöyük East","building 1, phase 1",NA,"Turkey",32.82,37.65,"C","Cressford 1998. 131.111.34.58.catal.archive_rep89.cressford98.html. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, North Area"
"P-1362",7904,111,NA,"charcoal","elm","Catalhöyük East","level VI B",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"OxA-9943",7910,55,NA,"seeds","Triticum, charred","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, KOPAL Area"
"PL-980560A",7910,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VIII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
"PL-980558A",7910,80,NA,"charcoal",NA,"Catalhöyük East","Building 1, phase 1B",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"P-1363",7911,103,NA,"charcoal","timber(?)","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Breunig 1987. Fundamente A 13, Köln. Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation, Breunig 1987: although collected from level VIA, involves reused wood allegedly from level VII"
"P-770",7912,94,NA,"charcoal","juniper/ oak","Catalhöyük East","level VI B",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Ralph 1965, Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation; Stuckenrath and Ralph 1965: shrine"
"P-1372",7915,85,NA,"charcoal","elm, or bone?","Catalhöyük East","level X",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"AA-19350",7918,54,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell)"
NA,7930,80,NA,"seeds",NA,"Catalhöyük East","building 1, phase 1",NA,"Turkey",32.82,37.65,"C","Cressford 1998. 131.111.34.58.catal.archive_rep89.cressford98.html. Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, North Area, Thissen 2002: phase 1 is the earliest phase of Building 1, contemporary to Mellaarts levels V or VI on the basis of artifacts. The 14C dates are compareble to levels VII or VIII."
"OxA-9774",7935,50,NA,"seeds","Scirpus, charred seeds","Catalhöyük East","level XI",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, South Area"
"P-1364",7936,98,NA,"charcoal","elm","Catalhöyük East","level VI B",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation;  Stuckenrath and Lawn 1969: shrine"
"P-1369",7937,109,NA,"charcoal",NA,"Catalhöyük East","level X",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"PL-972424A",7940,80,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","Building 1, phase 1B",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"AA-19349",7944,65,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell)"
NA,7950,80,NA,"charcoal",NA,"Catalhöyük East","building 1, phase 1",NA,"Turkey",32.82,37.65,"C","Cressford 1998. 131.111.34.58.catal.archive_rep89.cressford98.html. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, North Area"
"OxA-9980",7955,75,NA,"seeds","Triticum, charred","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, KOPAL Area"
"OxA-9771",7965,55,NA,"seeds","Triticum, charred","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, KOPAL Area"
"OxA-9944",7975,50,NA,"seeds","charred seeds","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, KOPAL Area"
"OxA-9946",7980,55,NA,"seeds","Scirpus, charred seeds","Catalhöyük East","level XI",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, South Area"
"AA-19348",7982,52,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell)"
"OxA-9776",7985,55,NA,"seeds","Scirpus, charred seeds","Catalhöyük East","level pre XII.B",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, South Area"
"OxA-9947",7985,50,NA,"seeds","Triticum/ Hordeum/ Scirpus, charred","Catalhöyük East","level XII",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, South Area"
"AA-19347",7998,54,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell)"
"OxA-9772",8025,55,NA,"seeds","Triticum, charred","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, KOPAL Area"
"OxA-9950",8030,50,NA,"seeds","Triticum/ Pisum, charred","Catalhöyük East","level pre XII.B",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, South Area"
"P-1370",8036,104,NA,"charcoal","ashes; charcoal-elm","Catalhöyük East","level X",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Lawn 1969, Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"P-775",8037,96,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Stuckenrath a Ralph 1965, Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Mellaart excavation"
"OxA-9949",8050,50,NA,"seeds","Pisum, charred seeds","Catalhöyük East","level pre XII.A",NA,"Turkey",32.82,37.65,"C","Cressford 2001. Antiquity 75: 717-725. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, South Area"
"PL-9800565A",8050,70,NA,"seeds","Cerealae, charred seeds","Catalhöyük East","level VII",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, South Area"
NA,8060,80,NA,"charcoal",NA,"Catalhöyük East","building 1, phase 2",NA,"Turkey",32.82,37.65,"C","Cressford 1998. 131.111.34.58.catal.archive_rep89.cressford98.html. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Hodder excavation, North Area"
"AA-18104",8065,50,NA,"charcoal","juniper","Catalhöyük East","level IV",NA,"Turkey",32.82,37.65,"C","Newton a Kuniholm 1999. Arkeometri Sonuçlari Toplantisi 14: 39-44. Thissen 2002a. In: Gérard and Thissen (eds.) 2002, The Neolithic of Central Anatolia. Internal Developments and External Relations During the 9th-6th Millennia cal BC. Proceedings of the CANeW Table Ronde, Istanbul 23-24 November 2001, Istanbul, Ege Publishing Co., Istanbul: 299-337.","Thissen 2002: Decadal samples from a single tree sequence (Cornell) , longest lived Catal sample, Mellaart sample P-775, Cornell Univ. CTL-1"
"PL-972425A",8070,80,NA,"charcoal",NA,"Catalhöyük East","building 1, phase 2B",NA,"Turkey",32.82,37.65,"C","Göktürk et al. 2002. Radiochimica Acta 90: 407-410.","Hodder excavation, North Area"
"AA-47057",8085,66,NA,"bone","Bos, phalanx","Catalhöyük East","---",NA,"Turkey",32.82,37.65,"C","Thissen et al. 2004-2006. www.canew.org.","Hodder excavation, KOPAL area"
